date,main_index,change,change_pct,value_traded,shares_traded,trades,symbols_traded,symbols_up,symbols_down,flat
2026-09-08,981.73,7.29,0.74%,1134299423,574075556,1114,109,8,20,81
2026-09-09,979.72,2.01,0.20%,2042622079,982597778,1221,109,8,20,81
2026-09-10,978.73,0.99,0.10%,14229471243,27938763345,1032,109,8,20,81
2026-09-13,974.29,4.44,0.45%,370206863,221417082,691,109,8,20,81
2026-09-14,971.16,3.13,0.32%,2323138609,25386369313,775,109,8,20,81
2026-09-15,971.74,0.58,0.06%,845718176,2028864657,830,109,8,20,81
2026-09-16,968.84,2.90,0.30%,1322219799,854656764,863,109,8,20,81
2026-09-17,969.0,0.16,0.02%,1253279659,1681093460,732,109,8,20,81
2026-09-20,975.0,6.00,0.62%,965009530,539820290,968,109,8,20,81
2026-09-21,971.24,3.76,0.39%,1175399744,903878180,847,109,8,20,81
2026-09-22,971.89,0.65,0.07%,1932557919,15411846842,1058,109,8,20,81
2026-09-23,977.35,5.46,0.56%,1243713439,586669522,1040,109,8,20,81
2026-09-24,976.17,1.18,0.12%,1314025596,10512428630,632,109,8,20,81
